date,calories_burned,steps,distance,minutes_sedentary,minutes_lightly_active,minutes_fairly_active,minutes_very_active,activity_calories,sleep_start_hour,sleep_end_hour,minutes_asleep,minutes_awake,number_of_awakenings,time_in_bed,day_of_week
2017-12-12,1957,9071,3.78,748,185,3,7,749,11,5,372,21,2,393,Tuesday
2017-12-13,2695,21738,10,634,149,33,114,1591,9,8,588,52,3,641,Wednesday
2017-12-14,1895,7884,3.29,699,140,13,32,682,10,7,527,24,2,551,Thursday
2017-12-15,1842,7402,3.09,715,119,15,25,609,10,7,489,24,1,517,Friday
2017-12-16,2643,18835,9.17,695,219,10,89,1556,12,8,443,26,1,469,Saturday
2017-12-17,2029,10458,4.36,606,147,9,49,841,9,7,571,55,4,626,Sunday
2017-12-18,2374,10977,4.58,593,189,12,68,1245,10,7,524,37,4,562,Monday
2017-12-19,2342,12291,5.12,582,157,24,80,1210,9,5,478,26,1,506,Tuesday
2017-12-20,2391,16567,7.64,740,140,26,76,1234,10,7,495,29,4,535,Wednesday
2017-12-21,2316,15056,6.28,575,212,33,60,1217,9,6,494,41,4,535,Thursday
2017-12-22,3080,27702,13.14,533,178,43,156,2058,9,7,527,49,4,578,Friday
2017-12-23,2315,12921,5.39,550,357,22,27,1314,11,8,440,82,6,522,Saturday
2017-12-24,2299,13054,5.44,517,283,3,71,1251,10,7,491,45,2,536,Sunday
2017-12-25,1781,4401,1.83,662,222,0,0,608,10,6,455,42,3,497,Monday
2017-12-26,2149,11266,4.7,611,262,18,26,1053,10,7,519,23,2,542,Tuesday
2017-12-27,2183,13161,5.49,705,233,16,13,1043,11,7,468,31,2,500,Wednesday
2017-12-28,1879,7820,3.26,714,156,15,11,670,10,7,541,17,1,558,Thursday
2017-12-29,3099,26982,13.36,574,225,15,119,2060,11,8,496,45,5,550,Friday
2017-12-30,1931,8255,3.44,599,147,10,44,739,9,9,656,45,3,701,Saturday
2017-12-31,1985,8978,3.81,582,217,0,0,804,10,7,504,29,2,542,Sunday
2018-01-01,1643,3131,1.31,766,136,0,0,395,2,9,390,40,3,430,Monday
2018-01-02,1993,9868,4.14,746,155,16,33,799,11,7,442,50,3,492,Tuesday
2018-01-03,2410,16335,7.64,651,203,10,54,1287,10,7,494,30,3,524,Wednesday
2018-01-04,2113,11873,4.95,662,161,30,54,963,10,7,502,25,1,527,Thursday
2018-01-05,1989,9826,4.1,745,164,14,32,805,11,7,503,23,2,529,Friday
2018-01-06,1895,6254,2.61,593,281,0,0,790,10,9,619,12,2,633,Saturday
2018-01-07,2699,21286,10.13,502,153,29,122,1615,10,7,508,22,2,530,Sunday
2018-01-08,2068,11002,4.6,672,182,29,30,913,10,7,498,25,3,529,Monday
2018-01-09,1975,9618,4.01,712,173,17,16,786,10,7,484,24,1,508,Tuesday
2018-01-10,2013,9891,4.12,735,189,21,25,851,11,7,462,25,2,487,Wednesday
2018-01-11,2166,12953,5.43,681,169,32,61,1032,11,5,377,2,0,379,Thursday
2018-01-12,1945,8719,3.64,911,161,18,27,750,11,7,473,29,2,502,Friday
2018-01-13,2167,11223,5.07,634,238,17,34,1059,12,8,426,50,3,476,Saturday
2018-01-14,3690,36640,18.07,492,280,18,189,2767,1,8,417,44,3,461,Sunday
2018-01-15,2068,10601,4.42,718,198,33,30,926,12,10,550,60,1,610,Monday
2018-01-16,1877,6830,2.85,611,209,3,7,700,10,7,516,23,1,539,Tuesday
2018-01-17,1833,5809,2.42,701,219,8,0,668,2,9,369,39,3,408,Wednesday
2018-01-18,1951,9250,3.86,803,130,12,43,744,11,7,455,29,4,491,Thursday
2018-01-19,2031,10465,4.39,710,184,12,27,865,11,8,527,36,2,563,Friday
2018-01-20,2217,12024,5.4,449,257,16,43,1145,9,5,461,21,1,484,Saturday
